token,token_address,buy_sig,sell_sig,buy_time,sell_time,buy_slot,sell_slot,slot_diff,hold_seconds,hold_days,buy_amount,sell_amount,amount_traded,cost,proceeds,cost_per_token,proceeds_per_token,profit,cost_token,proceeds_token,pnl_pct,num_sells,largest_sell_pct
4bcfWqNr,4bcfWqNr...kopump,w9gF6A57...,25MeCAB5...,2025-11-04 11:26:13,2025-11-04 11:54:44,377794116,377798391,4275,1711,0.01980324074074074,19158979.242151,9579489.621075,9579489.621075,10.019801983999999,12.527971372,5.229820366398114e-07,1.3077911107537818e-06,7.51807038000026,So111111,So111111,150.06425061105583,3,49.9999999999974
2sTX64Vp,2sTX64Vp...ihpump,dKdAkTL7...,5oC1MMmz...,2025-11-04 12:04:52,2025-11-04 12:05:08,377799928,377799967,39,16,0.00018518518518518518,11384702.276005,11384702.276005,11384702.276005,5.012376241,5.681125729,4.40272931121295e-07,4.990139918699359e-07,0.668749488,So111111,So111111,13.341965084939034,1,100.0
HbLvudQ8,HbLvudQ8...Uypump,gn79MPug...,5NBGffe8...,2025-11-04 16:03:11,2025-11-04 16:04:26,377835554,377835746,192,75,0.0008680555555555555,12259622.29424,12259622.29424,12259622.29424,10.019801983999999,10.598631683,8.173010345276015e-07,8.645153519925005e-07,0.5788296990000009,So111111,So111111,5.77685766569338,1,100.0
CRE9tXVC,CRE9tXVC...E7pump,LD4xzs2Q...,2GWs5QXd...,2025-11-04 21:30:57,2025-11-04 22:22:09,377884656,377892331,7675,3072,0.035555555555555556,7448429.780016,3809272.571444,3809272.571444,10.019801983999999,10.062545405,1.34522339337654e-06,2.6415923818193824e-06,4.938222830145924,So111111,So111111,96.36830542984598,2,51.14195453200363
42TCQRW8,42TCQRW8...dLfRnP,3S87zHt6...,5V3V7PD9...,2025-11-05 11:14:04,2025-11-06 10:24:36,378007780,378216008,208228,83432,0.9656481481481481,13868174.088959,13868174.088959,13868174.088959,10.019801983999999,0.283025093,7.225033317094828e-07,2.0408244891108444e-08,-9.736776891,So111111,So111111,-97.17534245235639,1,100.0
E5UdugdL,E5UdugdL...Kzpump,5ZXhHuvX...,3ALKYBTC...,2025-11-06 10:24:41,2025-11-06 10:25:08,378216022,378216090,68,27,0.0003125,8516288.026718,8516288.026718,8516288.026718,10.019801983999999,11.206513082,1.176545691334658e-06,1.3158917414303046e-06,1.1867110980000017,So111111,So111111,11.843658187007966,1,100.0
BuhyqqUR,BuhyqqUR...a7pump,2eG9zxqA...,57i77Unx...,2025-11-06 21:31:54,2025-11-06 22:17:09,378316178,378322931,6753,2715,0.03142361111111111,9543183.836763,9543183.836763,9543183.836763,15.029702973,17.857725834,1.5749149581611747e-06,1.8712545141598414e-06,2.828022861,So111111,So111111,18.816225883374948,1,100.0
oF3iNHHv,oF3iNHHv...Rvpump,c8r8qVKG...,PXwcFzW7...,2025-11-07 06:27:29,2025-11-07 06:29:49,378396363,378396706,343,140,0.0016203703703703703,10054340.561813,10054340.561813,10054340.561813,5.009900993,5.447844169,4.982824047186058e-07,5.418400277479404e-07,0.4379431759999996,So111111,So111111,8.74155350798167,1,100.0
FGFM9xZU,FGFM9xZU...NsFRCT,3MKxuQ3Q...,3nCPzuFo...,2025-11-07 08:04:34,2025-11-07 08:04:47,378410884,378410917,33,13,0.00015046296296296297,1307204.592409,1307204.592409,1307204.592409,19.990099014,23.243419077,1.529224968308975e-05,1.7781010877697073e-05,3.2533200630000016,So111111,So111111,16.27465707259155,1,100.0
9jFbN6wA,9jFbN6wA...pXpump,4JkFCv3S...,334eL5gi...,2025-11-07 13:33:07,2025-11-07 13:34:29,378460147,378460353,206,82,0.0009490740740740741,5937402.135306,5937402.135306,5937402.135306,5.009900993,5.374740991,8.437867065141615e-07,9.052344558304031e-07,0.36483999800000066,So111111,So111111,7.282379402502515,1,100.0
FGfL8La1,FGfL8La1...h8pump,XntKzAA5...,5pY1fktZ...,2025-11-07 20:35:58,2025-11-07 20:40:34,378523506,378524201,695,276,0.0031944444444444446,12421999.190322,23175682.400398,12421999.190322,5.012376241,10.774353146,4.035080154332284e-07,4.648990679046831e-07,0.7625996040934261,So111111,So111111,15.214332831912136,1,100.0
HYNSwHiP,HYNSwHiP...NbgNhv,5SFxGXJi...,4Q8P7DmL...,2025-11-09 09:39:31,2025-11-09 10:28:35,378856772,378864122,7350,2944,0.034074074074074076,21888010.859989,21888010.859989,21888010.859989,10.024752479,20.445734433,4.5800198762351303e-07,9.341065555835655e-07,10.420981953999998,So111111,So111111,103.95251130469335,1,100.0
